title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
"Adani Green Energy weighs raising $1.5 bn to fund expansion, say reports",Business Standard,2023-07-06 08:31:04,full,https://www.business-standard.com/companies/news/adani-green-energy-weighs-raising-1-5-bn-to-fund-expansion-say-reports-123070600410_1.html,business-standard.com,Adani Green Energy Ltd.'s board will discuss plans to raise funds from institutional investors on Thursday,"Adani Green Energy Ltd.'s board will discuss plans to raise funds from institutional investors on Thursday and will then seek approval from shareholders. (Photo: Bloomberg)
Bloomberg
 By P R Sanjai and Baiju Kalesh
 
 
 
 Indian billionaire Gautam Adani's renewable energy unit is considering raising about 123 billion rupees ($1.5 billion) to fund his coal-dependent conglomerate's green diversification, people familiar with the matter said, following the fallout from a damaging short-seller broadside.",Copyright www.business-standard.com,1298,news,IN,en,"Bloomberg,Business Standard",https://bsmedia.business-standard.com/_media/bs/img/article/2023-03/30/full/1680150976-9586.jpg,False,@bsindia,16.180288,d3f955e7de0730c582ed77b8a2c9d155
"Adani Enterprises Stocks Live Updates: Adani Enterprises Closes at Rs 2399.15, Registers -3.77% Relative Return Against Nifty50 in 6 Months",Economic Times,2023-07-06 03:01:00,full,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/adani-enterprises-stocks-live-updates-06-jul-2023/liveblog/101530058.cms,indiatimes.com,"Welcome to the Adani Enterprises Stock Liveblog, your daily source for real-time updates on one of India's leading companies. This comprehensive platform provides timely information on Adani…","Welcome to the Adani Enterprises Stock Liveblog, your daily source for real-time updates on one of India's leading companies. This comprehensive platform provides timely information on Adani Enterprises stock, including price movements, trading volumes and news encompassing both fundamental and technical observations.
 Stay tuned as we bring you insightful market analysis, expert opinions, and the latest developments impacting Adani Enterprises's stock performance. Whether you're an investor, trader, or simply interested in tracking Adani Enterprises financial journey, our liveblog is your go-to resource for staying informed and making informed decisions in this dynamic market.","Copyright:(C)2023 Bennett Coleman & Co. Ltd, http://info.indiatimes.com/terms/tou.html",296,economics,IN,en,Economic Times,"https://img.etimg.com/thumb/msid-101530058,width-600,resizemode-4,imglength-16358/markets/stocks/stock-liveblog/adani-enterprises-stocks-live-updates-06-jul-2023.jpg",False,@EconomicTimes,16.073391,00f9b4d77f1c8c0bda6dc6fca15e774e
"Adani Green approves Rs 12,300 crore fundraising via QIP; shares up 1.5%",Vaibhavi Ranjan,2023-07-06 10:29:21,full,https://www.moneycontrol.com/news/business/markets/adani-green-approves-rs-12300-crore-fundraising-via-qip-shares-up-1-5-10916111.html,moneycontrol.com,"The fundraising plans for Adani Green come after two other group companies, namely, Adani Enterprises and Adani Transmission announced plans to raise a cumulative total of Rs 21,000","The board of 
Adani Green Energy
 has approved the proposal to raise Rs 12,3000 crore through a qualified institutional placement route on July 6. The news of the fundraising also lifted shares of Adani Green Energy over 2 percent higher during intraday trade.
On July 6, shares of Adani Green Energy settled 1.5 percent higher at Rs 962.20 on the National Stock Exchange.
The fundraising initiative is expected to ease worries surrounding the Adani Group's debt servicing capabilities, thereby fostering confidence among investors.",moneycontrol.com,2753,news,IN,en,Vaibhavi Ranjan,https://images.moneycontrol.com/static-mcnews/2017/04/wind_turbine-770x433.jpg,False,@moneycontrolcom,16.042677,ef5be4119be8853f1d953da1cee32363
"Adani Green to raise Rs 12,300 cr via QIP for capex, debt reduction",Business Standard,2023-07-06 11:39:41,full,https://www.business-standard.com/companies/news/adani-green-energy-plans-to-raise-up-to-rs-12-300-crore-through-qip-123070600600_1.html,business-standard.com,"Adani Group: Adani Enterprises Ltd and Adani Transmission had earlier announced they will raise funds worth Rs 21,000 cr","The board of Adani Green Energy Ltd (AGEL) on Thursday cleared plans to raise up to Rs 12,300 crore by way of qualified institutional placement (QIP) of shares or any other share sale instrument.
 
 
 The company will use the proceeds to repay debt and for capacity expansion. Two group companies, Adani Enterprises Ltd (AEL) and Adani Transmission, had earlier announced they will raise funds worth Rs 21,000 crore via the QIP/share sale route. All QIPs will be launched later this year.
 
 
 Adani promoter entities, too, are raising funds to prepay debt.",Copyright www.business-standard.com,1298,news,IN,en,"Business Standard,Dev Chatterjee",https://bsmedia.business-standard.com/_media/bs/img/article/2023-03/08/full/1678280142-1592.jpg,False,@bsindia,16.030663,14db876cd30f4a6bbb294776302f4785
"Adani Ports & Special Economic Zone Stocks Live Updates: Adani Ports & Special Economic Zone Closes at Rs 742.75, Shows -0.71% Relative Return Against Nifty50 in 6 Months",Economic Times,2023-07-06 03:03:00,full,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/adani-ports-special-economic-zone-stocks-live-updates-06-jul-2023/liveblog/101530243.cms,indiatimes.com,"Welcome to the Adani Ports & Special Economic Zone Stock Liveblog, your daily source for real-time updates on one of India's leading companies. This comprehensive platform provides timely information…","Welcome to the Adani Ports & Special Economic Zone Stock Liveblog, your daily source for real-time updates on one of India's leading companies. This comprehensive platform provides timely information on Adani Ports & Special Economic Zone stock, including price movements, trading volumes and news encompassing both fundamental and technical observations.
 Stay tuned as we bring you insightful market analysis, expert opinions, and the latest developments impacting Adani Ports & Special Economic Zone's stock performance.","Copyright:(C)2023 Bennett Coleman & Co. Ltd, http://info.indiatimes.com/terms/tou.html",296,economics,IN,en,Economic Times,"https://img.etimg.com/thumb/msid-101530243,width-600,resizemode-4,imglength-40381/markets/stocks/stock-liveblog/adani-ports-special-economic-zone-stocks-live-updates-06-jul-2023.jpg",False,@EconomicTimes,16.03018,370d0ac5cd7ae504845463aa53a1be18
Adani Promoters Looking To Divest Some Stake In Group Companies,BW Online Bureau,2023-07-06 10:57:38,full,https://www.businessworld.in/article/Adani-Promoters-Looking-To-Divest-Some-Stake-In-Group-Companies/06-07-2023-483247,businessworld.in,"Negotiations are ongoing with multiple investors, and the next transaction is expected to involve a fund based in West Asia, likely occurring by September, , adani group, Hindenburg Research","The promoters of the Adani Group, led by billionaire 
Gautam Adani
, are planning to gradually reduce their holdings in group companies in the coming months, according to sources. This move aims to create a liquidity buffer that can be utilised to explore new opportunities and inject equity into different units. Currently, the promoters have already sold stakes to GQG Partners, a US-based firm, and are in talks with other global investors to potentially divest more. They intend to prune their stakes in various listed group companies through a combination of primary and secondary stake sales, with the goal of building cash reserves in light of the uncertain global investment environment.",businessworld.in,9204,business,IN,en,BW Online Bureau,https://static.businessworld.in/article/article_extra_large_image/1674817095_05T8nh_Adani.jpeg,False,,15.979248,59de09e8c536a3b62c4304c1c8b88c5f
"Adani Green shares rise 3% after board approves Rs 12,300 crore fundraising plans",Prashun Talukdar,2023-07-06 12:15:00,timezone unknown,https://www.businesstoday.in/markets/company-stock/story/adani-green-shares-rise-3-after-board-approves-rs-12300-crore-fundraising-plans-388501-2023-07-06,businesstoday.in,"The company board approved raising of funds by way of issuance of equity shares for an aggregate amount not exceeding Rs 12,300 crores by way of qualified institutional placement.","Shares of Adani Green Energy gained more than 3 per cent during the trading session Thursday after the company board of directors approved fund raising. The renewable energy arm of the Adani Group is looking to raise Rs 12,300 crore, the company informed the bourses through an exchange filing.



The company board approved raising of funds by way of issuance of such number of equity shares having face value of Rs 10 each of the company (equity shares) and/or other eligible securities or any combination thereof for an aggregate amount not exceeding Rs 12,300 crores by way of qualified institutional placement (QIP) or other permissible mode, the filing said.",businesstoday.in,5004,news,IN,en,Prashun Talukdar,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202307/stock-market-3-21gyd1b-sixteen_nine.jpg,False,@business_today,15.974683,795e9a87665b337ddc12966f2519079c
"Adani Green Energy shares edge higher as board approves raising ₹12,300 crore via QIP",Nikita Prasad,2023-07-06 09:59:36,full,https://www.livemint.com/market/stock-market-news/adani-green-energy-shares-edge-higher-as-board-approves-raising-rs-12-300-crore-via-qip-11688634034260.html,livemint.com,The fundraising will likely ease concerns of billionaire Gautam Adani's port-to-power conglomerate ability to service its debt and help in instilling some confidence among investors.,"Adani Green Energy
 Ltd will raise 
₹
12,300 crore by selling shares through qualified institutional placement, or QIP, or other permissible mode in accordance with the applicable laws, the 
renewable energy
 arm of the Adani Group said in a regulatory filing after its board meeting on July 6.
 
 
 
 The fundraising will likely ease concerns of billionaire Gautam Adani's port-to-power conglomerate ability to service its debt and help in instilling some confidence among investors. It will also help to fund the coal-dependent conglomerate's green diversification.",livemint.com,1404,news,IN,en,"Commodities,Energy,Industry. Her Core Areas,Markets,Nikita Covers Business News,Nikita Prasad,Oil,Policy",https://www.livemint.com/lm-img/img/2023/07/06/600x338/GLOBAL-ENERGY--8_1673502659614_1673502659614_1688636546962.JPG,False,@mint,15.971423,d6e7c0daa530de01e286f17545578ab4
Adani Group promoters likely to reduce holdings to create additional liquidity: Report,India Today Business Desk,2023-07-06 00:00:00,date,https://www.indiatoday.in/business/story/adani-group-promoters-holdings-sale-global-investors-whats-at-stake-2402639-2023-07-06,indiatoday.in,Adani Group promoters have already offloaded a significant portion of their holdings in listed companies.,"By India Today Business Desk
: Over the past few months, promoters of Adani Group have reduced a significant portion of their holdings in group companies following the stake sale to US-based boutique investment firm, GQG Partners. A report suggests that Adani Group promoters may continue to decrease their holdings in the coming months.
The objective behind this move, as reported by The Economic Times, is to create a liquidity buffer that can be utilized for equity infusion in various units and to explore new opportunities.",indiatoday.in,1817,news,IN,en,India Today Business Desk,https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202307/adani-group-promoters-stake-sale-062155-16x9.png?VersionId=hF5ZGvL8.iUdyTT2OcrjeesW.ZcTMeJ9,False,@indiatoday,15.9115095,9b6a963ca9022762c97826d3b7fcc79f
Adani Green Energy looks to raise $1.5 bn,,2023-07-06 13:00:00,timezone unknown,https://www.vccircle.com/adanigreen-mulling-1-5-bn-fundraise-report,vccircle.com,"India's Adani Green Energy, controlled by billionaire Gautam Adani, said on Thursday it approved raising 123 billion rupees ($1.49 billion) through qualified institutional placement.

The renewables ......","Gautam Adani, Chairman, Adani Group | Credit: Reuters

India's Adani Green Energy, controlled by billionaire Gautam Adani, said on Thursday it approved raising 123 billion rupees ($1.49 billion) through qualified institutional placement.

The renewables company will use the funds to diversify its green energy supply in the country, Bloomberg had reported earlier in the day, citing sources familiar with the matter.

The company plans to expand its green energy capacity by about 3 gigawatts this fiscal year, spending around 140 billion rupees ($1.",vccircle.com,16165,news,IN,en,,https://assets.vccircle.com/uploads/2022/09/gautamadanichairmanandfounderofadanigroup.jpg,False,@vccircle,15.8661175,468f6ec3044f8f9a5a64c43fb32ad6f5
"Adani Green Energy's board approves raising Rs 12,500 crore, shares rise",India Today Business Desk,2023-07-06 00:00:00,date,https://www.indiatoday.in/business/story/adani-green-energy-fundraising-rs-12500-crore-share-rise-2402797-2023-07-06,indiatoday.in,Adani Green Energy shares rose over 1 per cent after its board approved the fundraising plan.,"By India Today Business Desk
: Renewable energy company Adani Green Energy on Thursday said its board approved raising Rs 12,500 crore through a qualified institutional placement. Shares of the company rose over 1 per cent following the announcement.
The company will use the funds to diversify its green energy supply in the country, reported Bloomberg, citing sources familiar with the development.
Adani Green's CFO Phuntsok Wangyal said in May that the company plans to expand green energy capacity by about 3 gigawatts this financial year, which will cost around Rs 14,000 crore.",indiatoday.in,1817,news,IN,en,India Today Business Desk,https://akm-img-a-in.tosshub.com/indiatoday/images/media_bank/202307/adani-group-062141-16x9.png?VersionId=f84nbpr5DmaFE3ruKFK9XNxM5Q7Annx4,False,@indiatoday,15.855984,e208886c318f1ef5ede42ec1c9922b1f
"Adani Green Energy board approves raising up to ₹12,300 crore via QIP",Janaki Krishnan,2023-07-06 10:02:04,full,https://www.thehindubusinessline.com/companies/adani-green-energy-board-approves-raising-up-to-12300-crore-via-qip/article67048688.ece,thehindubusinessline.com,"The fundraising by individual companies is part of the agenda of the Adani group to resume its expansion plans as well as pay down debt. It had put some of its major expansion plans on hold following explosive allegations made by short-seller Hindenburg Research of price manipulation of stock prices, round-tripping by offshore entities, and corporate governance lapses.","In May, the boards of Adani Enterprises and Adani Transmission had taken approval to raise ₹21,000 crore through QIPs.",Copyright (C) 2023 THG PUBLISHING PVT LTD.,2591,business,IN,en,Janaki Krishnan,https://bl-i.thgim.com/public/incoming/n46spw/article67001933.ece/alternates/LANDSCAPE_1200/2023-06-07T115609Z_1828296725_RC2ZYY9678HS_RTRMADP_3_ADANI-INDIA.JPG,False,Janaki Krishnan,15.852042,e4289e70a7d3609718ae90a478759e5b
"Adani Green Energy shares close higher after board approves raising Rs 12,300 crore via QIP",ZeeBiz WebTeam,2023-07-06 11:07:08,full,https://www.zeebiz.com/companies/news-adani-green-energy-board-approves-fund-raising-rs-12300-crore-via-qip-adani-enterprises-adani-transmission-adani-group-rs-21000-crore-fund-raising-stst-243032,zeebiz.com,"The conglomerate led by Indian tycoon Gautam Adani has already announced plans to raise funds up to Rs 21,000 crore for two of its firms. While the group flagship Adani Enterprises aims to raise Rs…","Shares of Adani Green Energy Ltd closed higher on Thursday after the board of directors of the company approved a proposal for raising Rs 12,300 crore through qualified institutional placement (QIP) or other permissible mode.


In a filing to the stock exchanges the green energy arm of the Adani Group said that the board of directors at the meeting held on July 6, 2023, approved raising  of funds by way of issuance of such number of equity shares having face value of Rs 10 each of the company  and/or other eligible securities or any combination thereof for an aggregate amount not exceeding Rs 12,300 crore.", Zee Media Corporation Ltd. ,19665,business,IN,en,ZeeBiz WebTeam,https://cdn.zeebiz.com/sites/default/files/2023/07/06/249890-news18-bl-zb.jpg,False,@ZeeBusiness,15.756342,a9aa1eeeb4b18ab58a83fc26bcc49e85
"Adani Green to raise Rs 12,300 cr to fund expansion",PTI,2023-07-06 15:57:01,full,https://www.rediff.com/business/report/adani-green-to-raise-rs-12300-cr-to-fund-expansion/20230706.htm,rediff.com,"Billionaire Gautam Adani-led group's renewable energy firm on Thursday announced plans to raise Rs 12,300 crore through a share sale to investors as the group continues to build on a comeback strategy…","Billionaire Gautam Adani-led group's renewable energy firm on Thursday announced plans to raise Rs 12,300 crore through a share sale to investors as the group continues to build on a comeback strategy to emerge out of allegations of fraud levelled by a US short-seller.




 Photograph: PTI Photo


Adani Green Energy Ltd in a stock exchange filing said its board has approved raising up to Rs 12,300 crore through an issue of equity shares by way of qualified institutional placement (QIP).


The funds are intended to be used for meeting capital needs of the company's expansion plans.",rediff.com,2133,business,IN,en,PTI,https://im.rediff.com/news/2023/may/09gautam-adani.jpg,False,,15.473487,a75d3db1b7f05397943da474371cd1ba
Record Date For Dividend Rectified: Adani Stock Trading 4.47% Away From 52-Week Low,Oi-Renu Baliyan,2023-07-06 07:58:50,full,https://www.goodreturns.in/personal-finance/investment/record-date-for-dividend-rectified-adani-stock-trading-4-47-away-from-52-week-low-1288053.html,goodreturns.in,"Adani Group Stock, Adani Total Gas on July 5, 2023 rectified its record date for dividend to July 7, 2023 instead of July 7, 2022. Last trading price of Adani Total Gas share is Rs 650.10 per share on BSE with marginal intraday gain of 0.09%. The stock is now trading 4.62% away from its 52-week low price of Rs 620.15 per share. Current market price of Adani Total Gas share is Rs 649.20 per share.","Adani Group Stock, Adani Total Gas on July 5, 2023 rectified its record date for dividend to July 7, 2023 instead of July 7, 2022. Last trading price of Adani Total Gas share is Rs 650.10 per share on BSE with",goodreturns.in,42794,finance,IN,en,"Oi-Renu Baliyan,Renu Baliyan",https://www.goodreturns.in/img/2023/07/share7-1688630074.jpg,False,GoodReturnsIN,15.448854,196e9620b06671080076a557fac91753
"Adani Green weighs raising $1.5 billion to fund expansion, sources say",Bloomberg,2023-07-06 09:30:00,timezone unknown,https://www.financialexpress.com/industry/adani-green-weighs-raising-1-5-billion-to-fund-expansion-sources-say/3158838/,financialexpress.com,"By selling shares through qualified institutional placement, or QIP, Adani Green is looking to bring on board more institutional investors and attract more research analysts to cover the firm.","Indian billionaire Gautam Adani's renewable energy unit is considering raising about 123 billion rupees ($1.5 billion) to fund his coal-dependent conglomerate's green diversification, people familiar with the matter said, following the fallout from a damaging short-seller broadside. Adani Green Energy Ltd.'s board will discuss plans to raise funds from institutional investors on Thursday and will then seek approval from shareholders, the people said, asking not to be identified as the talks are private.",financialexpress.com,2106,news,IN,en,Bloomberg,https://www.financialexpress.com/wp-content/uploads/2023/06/adani.webp,False,Financialexpress,15.43278,62742b25edc1f0c66e3904d1fbda100e
Adani Wilmar's Q1FY24 report: New launches that drove first quarter,Tanya Krishna,2023-07-06 12:00:00,timezone unknown,https://www.financialexpress.com/industry/adani-wilmars-q1fy24-report-new-launches-that-drove-first-quarter/3159230/,financialexpress.com,"FMCG company Adani Wilmar, in its quarter update announcement for Q1 of FY 2023-24, announced its recent launches during the period.","FMCG company Adani Wilmar, in its quarter update announcement for Q1 of FY 2023-24, announced its recent launches during the period. Under the whole wheat category, Adani Wilmar launched four premium grades (including Sharbati) of whole wheat under the Fortune brand in select markets. 'This entry into a new category will enable brand penetration into more households and strengthen its brand equity for premium quality products. Fortune is the only national brand to offer branded whole wheat as a category,' the company said in the regulatory filing.",financialexpress.com,2106,news,IN,en,Tanya Krishna,https://www.financialexpress.com/wp-content/uploads/2023/04/S7A5BHYKKBJILPKVI7EOFKLY4I-1.jpg,False,Financialexpress,15.25237,48a1928e4ac84e40ae65b77d7cb226a0
